	en	fr	es	el	it	ar	de	ja
fakedetectiontraining_title	Fake detection training	Entraînement détection de faux	Entrenamiento de detección falsa	Εκπαίδευση ανίχνευσης απάτης		التدريب على كشف التزييف		フェイク検出トレーニング
fakedetectiontraining_trainm	MesoNet training	Entraînement MesoNet	Entrenamiento MesoNet	MesoNet εκπαίδευση		محرك MesoNet	MesoNetトレーニング
fakedetectiontraining_trainc	CapsuleForensics training	Entraînement CapsuleForensics	Entrenamiento CapsuleForensics	CapsuleForensics εκπαίδευση		تدريب CapsuleForensics		CapsuleForensics トレーニング
